roomType,stars,address,numberOfGuests,primaryHost/smartName,price,firstReviewComments,firstReviewRating
Entire condo,4.54,"Las Vegas, Nevada, United States",4,Doug,,"Overall, I had a good experience. The only downside would be that check in was a bit difficult. We got to the location we were sent, and was told at the gate that we were at the wrong location. After messaging the host, he let us know we would be going to a different location. After a long day of traveling, it was very inconvenient that we went to the wrong location. A little bit more communication would've went a long way. Also, some type of early check in or bag drop off would've helped a lot. We were told by a lot of people from the area that it is common for the flights that the times are very weird. You either are coming into Vegas very early in the morning or late at night. It was difficult finding flights close to check in. The apartment did not match the pictures at all; appeared to be a different unit. Could use a slight spruce up of fixing things around the condo. Furniture seemed a little old and worn.",4.0
Entire rental unit,4.39,"Las Vegas, Nevada, United States",4,Doug,,"I stayed an extra night. That should sum it up. If you want a peaceful quiet small appt. cozy, clean, with a HMO feeling, (outside was pristine), and a balcony, Doug’s got The set up you need. It reminded me of my family’s cabin trips to Big Bear as a kid. Mature Pines the whistle in theWind! Ahh! Added bonus is a pool.",5.0
Entire guest suite,,"Las Vegas, Nevada, United States",4,Aaron&Tina,,These days things are so impersonable but she came to greet us asked us if we needed anything and that means alot thx,5.0
Entire condo,,"Las Vegas, Nevada, United States",6,Aaron&Tina,,Great response time from owner. Could message at any time and owner would respond pretty quick,5.0
Private room in home,4.51,"Las Vegas, Nevada, United States",2,Brad,,good group of guys in the house. quiet clean and seamless,5.0
Entire home,4.96,"Las Vegas, Nevada, United States",15,Simon,,"Great spot. Visited for a Bach party and the place was great. Huge and tons of beds, great kitchen, pool was perfect.<br/>Simon was great host..super quick to respond.<br/>Would highly recommend",5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,Suiteness,,,
Entire home,5.0,"Las Vegas, Nevada, United States",16,Totalmax,,Great place to stay for a big group! Everyone slept comfortably. Kitchen and common area was spacious. Pool was beautiful and well maintained. Also loved the grill and outdoor firetop. Brooke was excellent - responsive and very helpful all throughout the trip.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Private room in resort,,"Las Vegas, Nevada, United States",8,Ann,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,4.13,"Las Vegas, Nevada, United States",4,888,,Great place had a lot of fun here,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Entire condo,,"Las Vegas, Nevada, United States",4,Aaron&Tina,,"Immediately after booking, the host messaged me and told me the dates I booked weren’t available, saying they wouldn’t be in town to check me in to the property, and I couldn’t get access without them being there. <br/>They attempted to get me to change my dates, but I had plans in town for the dates I booked. I requested a refund multiple times over the course of more than a week & took the steps requested by the host, but never received a refund. Then the host stopped replying to my messages.<br/>I ended up having to go directly to AirBnB for my refund, and they couldn’t process it until after my stay date - 3 weeks after I booked my trip, so in the mean time, I was out hundreds of dollars. <br/>Oh, and by the way, we ended up staying at the same property, and the host doesn’t need to check you in, which is what I suspected from the beginning. It’s just a typical Vegas hotel. You go to the desk and check yourself in, and they assign you a room, so they were clearly lying to begin with. <br/>PS - since we ended up staying on the property anyway, I can confidently say it isn’t even a remotely nice place. The “jacuzzi” tub has no jets, half the stuff was broken, vending machines were sold out, staff was useless, no WiFi to speak of, and zero cell service in the building. I couldn’t even listen to music on Spotify without it dropping out every few minutes. <br/>For just a little more, you can stay at Palms Place, which is leagues above this, and where I usually stay. Do that. You’ll thank me later.",1.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Everything was nice and had nice artwork. The view was amazing!,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Large space with a great balcony view.   888 is very responsive to any questions.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Our host was amazing and extremely willing to work around our arriving and departing. Space was exceptionally clean. Would stay with them again. ,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Nice place but staff at hotel not very nice,4.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Be sure to let the host know if you need extra blankets (or anything) to have them to ready for you instead of dealing with the closing at 5pm and rude house keeping at the Signature.  The host wouldn’t know they’ll need to provide you extra blankets even you told them you have more people staying that couldn’t fit into 3 beds (we told them we had 6 already at the beginning of reservation).  Be prepared to get ignored and rude attitude by the house keeping department since you book the rooms thru 3rd party.,3.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
